planner,samples,success_rate,mean_ratio_vs_astar,mean_min_clear_m,worst_min_clear_m,mean_frac_unknown,pct_paths_hitting_occupied,mean_time_s
custom_inflated,250,0.84,0.976,0.245,0.21,0.0,0.0,0.0101
custom_inflated,500,1.0,0.97,0.247,0.22,0.0,0.0,0.0136
custom_inflated,1000,1.0,0.964,0.237,0.21,0.0,0.0,0.0186
custom_inflated,2000,1.0,0.956,0.233,0.21,0.0,0.0,0.0291
custom_inflated,4000,1.0,0.953,0.223,0.21,0.0,0.0,0.0446
custom_strict,250,1.0,0.981,0.078,0.05,0.0,0.0,0.0121
custom_strict,500,1.0,0.976,0.079,0.05,0.0,0.0,0.0162
custom_strict,1000,1.0,0.975,0.098,0.05,0.0,0.0,0.0231
custom_strict,2000,1.0,0.965,0.074,0.05,0.0,0.0,0.0399
custom_strict,4000,1.0,0.96,0.058,0.05,0.0,0.0,0.0564
repo_ompl,500,1.0,0.971,0.0,0.0,0.136,1.0,0.0415
repo_ompl,2000,1.0,0.956,0.0,0.0,0.174,1.0,0.0651
repo_ompl,4000,1.0,0.961,0.0,0.0,0.161,1.0,0.0872
